roommates,starting_budget_per_person,active_stock_bucket,decisions,mean_active_socks_per_person,greedy_focal_embarrassment_per_day,selected_focal_embarrassment_per_day,greedy_other_average_per_day,selected_other_average_per_day,margin_gain_per_day,focal_delta_per_day,other_delta_per_day,main_below_other_pct,selected_discards_pct,selected_closest_pair_pct,heldout_self_safe_pct,heldout_self_safe_and_others_worse_pct
2,unlimited,4-<6 socks/person,15,5.166666666666667,0.15238095238095237,0.10476190476190476,0.13809523809523808,0.07142857142857142,-0.019047619047619053,-0.04761904761904761,-0.06666666666666667,6.666666666666667,46.666666666666664,100.0,86.66666666666667,6.666666666666667
2,unlimited,6-<10 socks/person,119,7.546218487394958,0.06842737094837935,0.05822328931572628,0.051620648259303716,0.027611044417767107,-0.013805522208883553,-0.010204081632653062,-0.024009603841536616,3.361344537815126,41.1764705882353,100.0,94.95798319327731,2.5210084033613445
4,$0,10+ socks/person,96,10.9609375,2.803571428571429,3.061755952380953,2.5870535714285716,2.683531746031747,-0.1617063492063493,0.2581845238095239,0.09647817460317465,41.666666666666664,66.66666666666667,89.58333333333333,68.75,20.833333333333332
4,$0,2-<4 socks/person,13,2.480769230769231,16573.302197802197,17298.587912087907,27974.24175824175,32897.11355311356,4197.586080586081,725.285714285714,4922.871794871795,92.3076923076923,69.23076923076923,38.46153846153846,46.15384615384615,30.76923076923077
4,$0,4-<6 socks/person,15,4.866666666666666,633.7666666666665,1570.704761904762,426.0142857142856,1777.1444444444446,414.1920634920635,936.9380952380951,1351.1301587301584,60.0,60.0,73.33333333333333,60.0,13.333333333333334
4,$0,6-<10 socks/person,88,7.2272727272727275,3.6582792207792223,3.776785714285715,3.860389610389611,3.629329004329004,-0.34956709956709964,0.11850649350649345,-0.23106060606060597,50.0,60.22727272727273,86.36363636363636,68.18181818181819,14.772727272727273
4,$0,<2 socks/person,8,0.90625,42739.54464285714,45659.29464285714,52085.86904761905,51110.42857142857,-3895.1904761904766,2919.75,-975.4404761904765,75.0,12.5,75.0,75.0,0.0
4,$100,10+ socks/person,82,10.387195121951219,2.2099303135888495,2.670731707317073,2.2372241579558656,2.2171893147502897,-0.480836236933798,0.460801393728223,-0.020034843205574908,31.70731707317073,67.07317073170732,93.90243902439025,65.85365853658537,10.975609756097562
4,$100,2-<4 socks/person,10,3.3,8902.992857142857,10315.835714285715,13273.57619047619,16237.023809523811,1550.6047619047617,1412.8428571428574,2963.447619047619,70.0,60.0,60.0,60.0,30.0
4,$100,4-<6 socks/person,37,5.168918918918919,3.857142857142857,4.2857142857142865,3.431145431145431,3.3281853281853286,-0.5315315315315313,0.42857142857142866,-0.10296010296010286,40.54054054054054,78.37837837837837,83.78378378378379,75.67567567567568,13.513513513513514
4,$100,6-<10 socks/person,95,7.481578947368421,3.147368421052632,3.200000000000002,2.890977443609023,2.990476190476192,0.046867167919799405,0.05263157894736836,0.09949874686716798,37.89473684210526,64.21052631578948,94.73684210526316,67.36842105263158,12.631578947368421
4,$100,<2 socks/person,7,1.2142857142857142,38796.40816326531,34793.76530612245,48378.32993197279,52386.79931972789,8011.1122448979595,-4002.6428571428573,4008.4693877551035,100.0,57.142857142857146,28.571428571428573,85.71428571428571,71.42857142857143
4,$25,10+ socks/person,53,10.14622641509434,2.601078167115903,2.1805929919137466,2.1230907457322554,1.9200359389038637,0.2174303683737646,-0.4204851752021564,-0.20305480682839175,35.84905660377358,73.58490566037736,96.22641509433963,77.35849056603773,15.09433962264151
4,$25,2-<4 socks/person,16,2.890625,18733.066964285714,20494.633928571428,19707.654761904763,21170.52976190476,-298.69196428571433,1761.5669642857142,1462.875,43.75,50.0,43.75,62.5,12.5
4,$25,4-<6 socks/person,35,5.328571428571428,271.9204081632654,138.84285714285716,137.84829931972786,48.881632653061224,44.11088435374151,-133.07755102040812,-88.96666666666668,51.42857142857143,62.857142857142854,85.71428571428571,85.71428571428571,22.857142857142858
4,$25,6-<10 socks/person,91,7.862637362637362,2.8124018838304554,3.2315541601255893,3.076399790685505,3.234693877551021,-0.26085818942961797,0.41915227629513363,0.15829408686551544,49.45054945054945,59.34065934065934,90.10989010989012,63.73626373626374,19.78021978021978
4,$25,<2 socks/person,11,1.3636363636363635,29372.649350649353,31932.909090909092,46677.380952380954,46817.995670995675,-2419.6450216450216,2560.2597402597403,140.61471861471838,81.81818181818181,45.45454545454545,45.45454545454545,54.54545454545455,18.181818181818183
4,$300,10+ socks/person,65,10.265384615384615,0.7285714285714284,0.9538461538461537,0.8567765567765565,0.7322344322344322,-0.34981684981684985,0.2252747252747253,-0.12454212454212456,36.92307692307692,64.61538461538461,93.84615384615384,78.46153846153847,9.23076923076923
